Project ID,Recipient-ID,Recipient Name,State/Territory,Reporting Tier,Recipient Type,Completion Status,Project Name,Expenditure Category Group,Expenditure Category,Project Description,Total Cumulative Obligations,Total Cumulative Expenditures
TPN-283548,RCP-053271,"Coosa County, Al,",Alabama,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed less than 50%,Goodwater Volunteer Fire Department Facility,6-Revenue Replacement,6.1-Provision of Government Services,This project is to support a funding agreement with the Goodwater Volunteer Fire Department for the construction of new facility to provide more immediate services to its citizens and to provide an additional polling location in the Goodwater area to facilitate fair and equitable elections.,"$100,000",$0
TPN-219479,RCP-037689,"Barbour County, AL",Alabama,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,New Senior Center,6-Revenue Replacement,6.1-Provision of Government Services,"The County has received a Community Development Block Grant for the construction of a new senior center. This project is to provide for a federal match as required by that grant, including in-kind services, in support of the construction project. The County has further verified that there has been no waiver issued and no statute or regulation prohibits the use of these funds as part of the County's match.","$28,298","$28,298"
TPN-216364,RCP-040299,"Choctaw County, AL",Alabama,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed 50% or more,Design Services for County Jail,6-Revenue Replacement,6.1-Provision of Government Services,"In order to provide for a constitutionally required jail facility, the County is building a new jail facility.  This project is to provide for design services for the new jail.","$368,900","$333,471"
TPN-155301,RCP-046809,"City Of Wetumpka, AL",Alabama,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed,Wetumpka Fire Station,6-Revenue Replacement,6.1-Provision of Government Services,Revenue replacement funds are being used as a provision to construct a new fire station to provide public safety services to the citizens and community.,"$1,000,082","$1,000,082"
TPN-096731,RCP-038110,"St. Clair County, Alabama",Alabama,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,New Jail Pell City,6-Revenue Replacement,6.1-Provision of Government Services,To be used to help pay for New Jail Construction Project,"$9,470,302","$9,470,302"
TPN-258595,RCP-038894,"Lee County, Alabama",Alabama,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed less than 50%,East Alabama Healthcare Authority Mental Health Center,1-Public Health,1.12-Mental Health Services,"This project is to provide mental health services to citizens in the county by contributing to the construction of a new mental health center. This new mental health center will provide additional inpatient bed space, including educational space for minor patients, and resources for outpatient treatment. This project will be carried out through a subrecipient, the East Alabama Healthcare Authority.","$4,131,607","$2,000,000"
TPN-276801,RCP-035632,"City Of Hartselle, AL",Alabama,"Tier 5.  Metropolitan cities and counties with a population below 250,000 residents which received less than $10 million in SLFRF funding",Local Government,Completed less than 50%,New Library/Event Center,6-Revenue Replacement,6.1-Provision of Government Services,"Build new Library, to replace 1970's building and construct a new event center to be used by the public and for city programs.","$297,121","$297,121"
TPN-238396,RCP-036755,"Morgan County, Alabama",Alabama,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Morgan County-Decatur Farmer's Market,6-Revenue Replacement,6.1-Provision of Government Services,"Transfer of funds to the Decatur-Morgan County Farmer's Market Board, a quasi-governmental entity established by public ordinance, to construct a new facility for the operation of a farmer's market to support local industry.","$500,000","$500,000"
TPN-057268,RCP-036011,"City Of Tucson, Arizona",Arizona,"Tier 1. States, U.S. territories, metropolitan cities and counties with a population that exceeds 250,000 residents",Local Government,Completed,Poverello House of Tucson,2-Negative Economic Impacts,2.34-Assistance to Impacted Nonprofit Organizations (Impacted or Disproportionately Impacted),Grant funds will be used to purchase property obtain applicable permits and tear down and construct a new facility to provide expanded and accessible daytime services for unhoused individuals negatively impacted by the public health crisis,"$218,985","$218,985"
TPN-107661,RCP-049058,"City Of San Luis, Arizona",Arizona,"Tier 2.  Metropolitan cities and counties with a population below 250,000 residents that are allocated more than $10 million in SLFRF funding, and NEUs that are allocated more than $10 million in SLFRF funding",Local Government,Completed,Fire Station #2,6-Revenue Replacement,6.1-Provision of Government Services,"The new fire station #2 is a 2400 square foot seven dorm fire station, including an apparatus parking structure, as well as on-site infrastructure, concrete, and asphalt paving.","$107,000","$107,000"
